,x,y,label
0,-2.6,-0.1,0
1,0.5,-4.8,1
2,3.0,3.4,1
3,-2.6,0.6,0
4,2.1,-1.3,1
5,-0.8,-1.1,0
6,3.0,-2.6,1
7,-2.9,-4.9,0
8,2.2,-2.8,1
9,0.7,-3.0,1
10,1.6,-0.6,1
11,2.9,-4.5,1
12,3.0,3.6,1
13,1.3,2.0,1
14,0.0,-2.5,1
15,-0.8,2.3,1
16,-2.2,-3.9,0
17,2.1,-4.1,1
18,3.0,0.4,1
19,2.9,1.8,1
20,-2.3,-0.6,0
21,1.3,-1.7,1
22,-1.3,-3.4,0
23,1.7,-1.2,1
24,-2.5,2.3,0
25,0.6,-2.7,1
26,-0.3,-4.3,0
27,1.8,3.4,1
28,-2.3,-0.9,0
29,2.3,3.6,1
30,1.9,0.6,1
31,-2.4,-2.7,0
32,-0.4,-2.4,0
33,0.0,2.4,1
34,-2.1,-4.1,0
35,-0.1,-0.2,1
36,-1.7,-1.6,0
37,0.0,-0.5,1
38,-1.0,2.9,1
39,0.6,-0.5,1
40,2.2,4.6,1
41,1.5,3.6,1
42,-1.0,4.9,1
43,2.4,4.6,1
44,0.1,-4.6,0
45,1.0,1.7,1
46,-2.9,2.2,0
47,1.1,2.9,1
48,-2.1,-3.7,0
49,2.3,3.3,1
50,2.2,0.9,1
51,1.7,2.8,1
52,-2.2,1.5,0
53,2.4,-4.9,1
54,2.3,1.5,1
55,0.6,-4.0,1
56,0.7,-3.2,1
57,-1.0,-1.5,0
58,1.1,2.5,1
59,2.1,-2.1,1
60,-0.2,2.5,1
61,-2.7,0.8,0
62,-0.8,3.6,1
63,-2.0,5.0,0
64,0.7,-3.8,1
65,0.6,-1.7,1
66,2.3,-3.7,1
67,1.4,3.6,1
68,0.7,3.8,1
69,2.5,0.8,1
70,0.9,-3.7,1
71,-1.0,3.8,1
72,1.8,-3.9,1
73,-0.3,2.6,1
74,1.4,2.3,1
75,-2.5,2.7,0
76,-2.1,4.5,0
77,2.5,1.0,1
78,-2.7,3.2,0
79,-0.9,-4.6,0
80,-1.3,1.0,0
81,1.4,-0.5,1
82,1.2,-2.4,1
83,-1.7,4.1,0
84,-1.8,2.1,0
85,-0.2,-4.4,0
86,0.9,3.6,1
87,-3.0,-4.1,0
88,-1.6,-1.7,0
89,-0.9,4.0,1
90,0.3,-3.7,1
91,-0.7,-1.4,0
92,2.4,-0.3,1
93,2.6,2.4,1
94,-1.2,-3.6,0
95,-1.0,-3.8,0
96,0.7,1.5,1
97,-2.0,4.6,0
98,-2.6,-0.1,0
99,-0.3,2.8,1
